"Category","Rating","Rating.Count","Size","DaysLastUpdate","ReleasedDays","AppNameLen","Installs"
"Lifestyle",2.1,2.30258509299405,3.04452243772342,1405,1449,11,7.26961674960817
"Educational",4.3,3.66356164612965,1.70474809223843,229,230,46,9.01905879381072
"Productivity",4.2,2.56494935746154,2.70805020110221,444,770,19,7.27655640271871
"Educational",2.2,2.89037175789616,1.84054963339749,132,518,37,8.40603814205008
"Lifestyle",4.4,5.50938833662798,2.35137525716348,335,1974,12,10.9017821446894
"Lifestyle",5,4.45434729625351,2.33214389523559,5,89,50,6.50727771238501
"Educational",4.7,3.49650756146648,3.80666248977032,238,2133,11,12.9160720267236
"Lifestyle",5,2.07944154167984,2.83321334405622,1040,1170,19,4.72738781871234
"Lifestyle",5,5.23644196282995,2.26176309847379,339,340,24,7.94979721616185
"Educational",4.1,4.71849887129509,2.30258509299405,481,1964,22,7.97315543344413
"Lifestyle",3.7,2.484906649788,2.00148000021012,1314,1342,14,8.36030543587909
"Game",3.9,5.79909265446053,4.56434819146784,1407,1568,25,11.2220650134856
"Lifestyle",2,5.56068163101553,2.70805020110221,329,1105,9,10.6030391807691
"Productivity",3.9,6.08904487544685,4.11087386417331,19,754,6,12.0691297259738
"Educational",4.5,9.36331893657326,2.04122032885964,57,4097,36,14.3926704021344
"Lifestyle",4.7,4.24849524204936,2.06686275947298,349,1320,11,8.22335889947926
"Entertainment",3.8,4.06044301054642,1.91692261218206,3,423,18,9.41686661746695
"Educational",4.8,3.25809653802148,3.80666248977032,366,367,11,6.13772705408623
"Lifestyle",4.3,8.10470346837111,2.77258872223978,34,939,34,14.0784561918653
"Game",4.3,9.01748351326684,3.43398720448515,1802,2728,30,12.6227875698276
"Productivity",4.1,4.26267987704132,1.06471073699243,1208,1209,13,9.1018638956401
"Game",3.2,7.34083555412327,3.17805383034795,807,1083,34,11.3735944297412
"Educational",3.9,3.04452243772342,1.56861591791385,604,547,10,7.71289096149013
"Productivity",4.8,1.94591014905531,1.09861228866811,928,1103,13,5.4380793089232
"Productivity",3,5.25749537202778,4.56434819146784,6,1388,13,11.761611998915
"Game",3.6,8.29928590689727,4.27666611901606,1520,1618,27,13.1054938842613
"Entertainment",4.9,4.58496747867057,2.77258872223978,33,422,22,7.54009032014532
"Lifestyle",4.6,6.18208490671663,2.2512917986065,1016,2472,28,10.8130356035429
"Educational",3.8,5.29330482472449,3.09104245335832,1068,1068,21,11.0519212195213
"Lifestyle",4.6,2.30258509299405,1.77495235091167,125,177,25,7.1608459066643
"Educational",4.2,11.0981673099505,2.33214389523559,6,3854,12,16.4461247731619
"Educational",4.4,2.83321334405622,1.19392246847243,843,2355,16,7.13727843726039
"Educational",4.4,6.10255859461357,3.04452243772342,402,428,31,10.3243337626826
"Educational",5,1.94591014905531,2.2082744135228,350,672,19,5.48893772615669
"Entertainment",4.7,2.07944154167984,2.63905732961526,352,1515,27,7.1420365747068
"Entertainment",3.1,2.07944154167984,2.10413415427021,2418,2418,7,9.10331179921766
"Lifestyle",4.1,9.90961871846637,3.2188758248682,259,2076,22,14.1220639418192
"Entertainment",4.5,4.77068462446567,3.73766961828337,23,1212,48,11.6285461644619
"Productivity",4.1,4.44265125649032,1.94591014905531,1356,1356,7,10.0376687340021
"Lifestyle",3.7,3.66356164612965,2.77258872223978,139,1550,18,8.75226531359572
"Lifestyle",4.8,3.36729582998647,2.33214389523559,12,49,44,6.59850902861452
"Lifestyle",4.5,2.77258872223978,1.97408102602201,782,1306,50,8.02059914989697
"Productivity",4.1,3.46573590279973,1.82454929205105,576,809,21,9.09459276343187
"SocialMedia",4.3,6.07534603108868,1.98787434815435,1008,2364,28,11.753531653035
"Entertainment",1.8,1.94591014905531,3.25809653802148,551,1320,18,8.37793112408273
"Game",4.4,2.07944154167984,3.52636052461616,981,981,16,4.61512051684126
"Educational",4.8,3.46573590279973,2.18605127673809,83,83,47,5.48479693349065
"Entertainment",4.8,1.79175946922805,2.18605127673809,166,999,14,6.60394382460047
"Productivity",5,1.79175946922805,1.33500106673234,1786,909,21,2.94443897916644
